iter	Passed	Remaining
0	1	750
1	2	728
2	4	733
3	5	706
4	7	705
5	8	694
6	9	691
7	11	697
8	12	688
9	14	686
10	15	693
11	16	688
12	17	663
13	19	668
14	20	665
15	21	665
16	23	662
17	24	665
18	26	662
19	27	662
20	28	648
21	29	647
22	31	650
23	32	649
24	34	651
25	35	648
26	36	646
27	38	645
28	39	643
29	41	643
30	42	642
31	43	640
32	45	639
33	46	638
34	48	637
35	49	632
36	50	631
37	51	631
38	53	630
39	54	627
40	55	626
41	57	625
42	58	624
43	60	630
44	61	625
45	63	623
46	64	622
47	65	621
48	67	619
49	68	612
50	68	605
51	70	605
52	71	606
53	73	604
54	74	600
55	75	600
56	77	599
57	78	597
58	79	596
59	81	594
60	82	592
61	83	591
62	85	592
63	86	590
64	87	588
65	89	587
66	90	585
67	92	585
68	93	584
69	94	583
70	96	582
71	97	581
72	99	584
73	101	582
74	102	581
75	104	580
76	105	580
77	106	578
78	108	576
79	109	572
80	110	570
81	111	569
82	112	567
83	113	563
84	115	561
85	116	561
86	117	559
87	119	558
88	120	557
89	121	555
90	123	554
91	124	552
92	125	551
93	126	548
94	128	546
95	129	545
96	131	544
97	131	540
98	133	539
99	134	538
100	135	537
101	137	535
102	138	534
103	139	531
104	140	529
105	142	528
106	143	527
107	144	525
108	146	524
109	147	523
110	148	520
111	150	519
112	151	518
113	153	518
114	154	516
115	155	515
116	157	514
117	158	513
118	159	511
119	161	510
120	162	509
121	164	508
122	165	507
123	166	506
124	168	504
125	169	503
126	171	502
127	172	501
128	173	500
129	175	498
130	176	497
131	177	496
132	179	494
133	180	493
134	182	492
135	183	490
136	184	489
137	185	487
138	187	486
139	188	485
140	190	484
141	191	483
142	193	482
143	194	481
144	195	479
145	197	479
146	199	478
147	200	477
148	201	474
149	202	473
150	204	472
151	205	470
152	207	469
153	208	468
154	210	467
155	211	465
156	211	462
157	213	461
158	214	460
159	215	458
160	217	457
161	218	456
162	220	455
163	221	453
164	222	451
165	224	451
166	225	449
167	226	448
168	228	447
169	229	446
170	231	445
171	232	442
172	233	441
173	234	440
174	236	438
175	238	438
176	239	436
177	240	435
178	242	434
179	243	432
180	244	431
181	246	430
182	247	428
183	248	427
184	250	425
185	251	424
186	252	422
187	253	421
188	254	419
189	256	417
190	257	416
191	258	415
192	260	413
193	261	412
194	262	410
195	263	409
196	265	408
197	266	407
198	268	405
199	269	404
200	271	403
201	272	402
202	273	400
203	274	398
204	276	397
205	277	395
206	278	394
207	279	393
208	281	392
209	283	391
210	284	389
211	285	387
212	287	386
